contentful_id,ext_id,name,type,address,lat,lon,status,atm_cash_in,work_on_weekend,full_day,working_time,weekdays,saturdays,phone,atm_branch_image
7shmkJPT3VQgkad4aEQ0AP,2484,ATM CNV BINAGADI BRANCH 2 GRG,ATM,"Bakı, Binəqədi r., S.S. Axundov 42 (ABB Binəqədi filialı )",40.42537,49.842855,,True,True,,,,,,https://images.ctfassets.net/rckhx7d9app2/375Qgxk4EKdlEA9t8YDODy/ff46460f116d1389803f0360a422e1b5/WhatsApp_Image_2024-08-31_at_09.50.24.jpeg
5EOVyXhGASSjwiRM19yFBc,2548,ATM RIM XIR BILACARI OBA ,ATM,"Bakı, Binəqədi rayonu,Biləcəri qəsəbəsi (Oba market)",40.422045,49.798869,,True,,,24 Hours,,,937,https://images.ctfassets.net/rckhx7d9app2/rEJFrgOrI1ta1iwBYwKM6/0c3cc5229c5e865ae53bd7598758ba37/WhatsApp_Image_2024-10-19_at_10.26.18.jpeg
mxJ18FT60jH9oe2ZCWkx6,69,ATM RIM GENCE MAXI MARKET,ATM,"Gəncə ş., H.Əliyev pr. 44A, ""Maxi market""",40.705671,46.366488,,False,True,,,,,,https://images.ctfassets.net/rckhx7d9app2/5hgYF9kkCzYE7fQvBbQpFA/686f2b8da67ce9110f347209f9647c86/WhatsApp_Image_2024-12-24_at_19.21.40.jpeg
56pcJiNhKhNTFJpKks5YNg,75,ATM GEN MAXI MARKET,ATM,"Gəncə şəhəri, Maxi market",40.67081847684641,46.37643392091075,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/1bNaXG0ThmUFrKwwfGgZvX/8ee8f654cf48e1d9cc94924c23e66ece/WhatsApp_Image_2024-12-26_at_15.04.55.jpeg
3iFbRY5uzT6UCZJZAEJdp0,116,ATM GENCE SEVIMLI M. GULUST,ATM,"Göygöl rayonu, Qızıl qaya qəsəbəsi Gəncə Kəlbəcər yolu M.Ş.Vazeh küç.64 (""Sevimli"" market)",40.639995,46.33905,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/1lPMsvB9i88BnzAm6uVyZo/9b8bba5feafb80ac699d14fe621accca/WhatsApp_Image_2024-12-26_at_09.14.09.jpeg
4HU0syMb8ZoFXKqSziecuB,203,ATM GENCE OBA MARKET ,ATM,"Gəncə, Təbriz küçəsi (Oba Market)",40.67293189794603,46.34225743277774,,True,True,True,,,,,https://images.ctfassets.net/rckhx7d9app2/6c711kNepvu3P67wJR7EzR/4030cc5ef1a132378ddca1672365cd35/WhatsApp_Image_2024-12-26_at_08.13.23.jpeg
4VXN1dQ8qSlstPW972x7Mi,410,ATM GENCE GULLER MARKET,ATM,"Gəncə, Atatürk prospekti , 261",40.696967,46.37495,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/61jlLqMbmjckebn2nSKc38/5683f1ed5af08fabf722b12f6555a8aa/WhatsApp_Image_2024-12-26_at_11.01.57.jpeg
2r2YsY1NlohZFc8aKPTwTY,437,ATM GENCE MEQA MARKET,ATM,Ş.İ.Xətai pr. Ev 97(MEQA market),40.697332,46.357009,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/49igxBGSdsUSSXjV8RsbIR/b98719a340640ee8e24ad0317c8fa9ba/WhatsApp_Image_2024-12-26_at_11.19.54.jpeg
2g8nkKUr3BYg3UiSq9D3ys,503,ATM YENI GENCE OBA MARKET,ATM,"Gəncə, Yeni Gəncə qəsəbəsi Oba market",40.660912,46.34042,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/22Bbol8SQkP6tWnW2gmtUv/bef45f2e048ceaa61bc9d63a16343aa9/WhatsApp_Image_2024-12-26_at_08.23.12.jpeg
4yarSIrzfhoDhthCGyElIF,549,ATM GENCE OBA M. AZERBAYCAN K. ,ATM,"Gəncə, Azərbaycan K. Dongə 3 Ev3 (Oba market)",40.715510354612526,46.36919808454821,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/0S8KGCX6z7yyhnNUqB7kZ/333f1e4c9b9eab867efecab98ad1d6d1/WhatsApp_Image_2024-12-24_at_17.29.09.jpeg
3wmlR2hfP4MLyISLP8FAoT,562,ATM GENCE OBA MARKET SEVINC Q.,ATM,"Gəncə, Məhsəti qəs.",40.707677,46.333215,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/6Lzy6NQ9QBS3J6T0j04aEu/880c417e33c3aac02b8a32d5dfe2cb34/WhatsApp_Image_2024-12-24_at_16.51.55.jpeg
3SWaNSKwpW3p52JJM0zNH9,563,ATM GENCE OBA MARKET HUSEYNLI 2,ATM,Gəncə şəh.Nizami rayonu Qəmbər Hüseyinli küç.2,40.682654152203234,46.355966852856284,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/2sLu3g8Hgr5kjlFrMUAAhO/148baf065dd0872604fa245e11c0614a/WhatsApp_Image_2024-12-26_at_09.47.54.jpeg
4jX7k9Hw1TJBEipFHEsBHH,575,ATM GENCE  Beynəlxalq Xəstəxana,ATM,"Gəncə, Sah İsmayil xetai küçəsi ",40.69490799903645,46.36624591570782,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/6nBqehBplGTFJyBg1o5MrZ/d44522e552b675b9046b6933db107cfa/575__2_.jpeg
3q9f0jHYwDqnIloVm7tkiW,613,ATM GENCE ALIMINIUMCULAR ZAVOD,ATM,"Gəncə ş., Ş.İ. Xətai pr. 84",40.686575507383694,46.386988604846174,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/5JxhnV0VgXc3SalaCxsJsd/c25bfb629d91e398fcb2d4c1c5d38f64/WhatsApp_Image_2024-12-24_at_11.05.44.jpeg
7io3Zsrd7cfRkXuXlyV9Y0,620,ATM RIM GEN YENI GENCE EMİNE MARKET,ATM,"Gəncə, Yeni Gəncə qəsəbəsi, Mehmandarov küç. (Əminə market)",40.686484373930156,46.334606744487175,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/19cbLSSbgdbYQU0tcMAB39/1f47c6693f170d69da1ea1610a2b6105/WhatsApp_Image_2024-12-26_at_14.04.42.jpeg
4VBfQTVTgpDpRGrVlQQfnu,623,ATM GENCE APTEK ELESGER KUC.,ATM,"Gəncə, Aşıq Ələsgər 31",40.65614147037462,46.367216857759935,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/3488uj5PWQ8bNyyL4TJhAp/bb7594f5f2d57ac527467066cc1168e2/WhatsApp_Image_2024-12-26_at_08.43.46.jpeg
4dLmvqwo1tkwZH7w5nrxNQ,667,ATM RIM GAN AZERALLUMINIUM MMC,ATM,"Gəncə, ""Detal Alüminiy"" zavodu",40.68655176009785,46.42680254923436,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/4Phr1qUcgoD5nGXCUFshNW/b70d578794be00509672aa083ecae606/WhatsApp_Image_2025-03-14_at_09.44.09.jpeg
1WHWZgKzuLuMl0208Z0xuc,758,ATM GENCE ARAZ M MEHMANDAROV K.,ATM,"Gəncə, Mehmandarov küçəsi (Araz market)",40.674658,46.33437,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/4579DauVT4fkGnLybrxkY8/732074ee77f8bbf3781397971dfdc7f8/WhatsApp_Image_2024-12-26_at_13.35.28.jpeg
4W6dSaBItLvrb1BAp0kogA,1041,ATM GENCE DELFIN MARKET,ATM,Gəncə ş. Pərviz Səmədov 12 (Delfin market),40.679356,46.350109,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/119aWdZdgfzoSrzUSI6NJ5/11c9155e71a30040441cac9e6d93cb14/WhatsApp_Image_2024-12-26_at_12.49.17.jpeg
4NzulomgEMypYlSEGAdp8P,1042,ATM GENCE FAMA MARKET,ATM,"Gəncə ş., FAMA market",40.71877375410452,46.35380144423876,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/7yyoU9uzrsQgGLJxtAwcLI/725f89a27c80b16a2addd38b4f440385/WhatsApp_Image_2024-12-26_at_16.02.58.jpeg
4gRGIrhQoneXLfwvvG4lOY,1707,ATM GENCE HOTEL,ATM,"Gəncə, Ş.İ.Xətai prospekti 155 (""Gəncə"" mehmanxanası)",40.67983472562637,46.3608138940871,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/32IvAQFl7HX43LMgNhLm5w/cae5de88d6e7f27d52c4c077b50f3f4b/WhatsApp_Image_2024-12-25_at_19.48.18.jpeg
6nOTFO8fLYEgicdjPr294C,1907,ATM GENCE KEPEZ MECBURI KOCKUN Q.,ATM,"Gəncə şəhəri, Kəpəz məcburi köçkünlər qəsəbəsi, ""Hacıməlik"" 600 ( mağaza )",40.66543078042121,46.45306484976036,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/79cyAsWwW4aWWLebUxMUVX/5a3435307d01d74d28b5f1b8189b6ee3/WhatsApp_Image_2024-12-26_at_18.16.19.jpeg
6kYSPvrSMVdSPCPK0JiVyz,1915,ATM GENCE NUR MARKET,ATM,"Gence, Sadilli qes., mehelle e-3 sahe 19 (“Nur” market)",40.708566314997626,46.35564092192582,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/60YaYNA8knNHq4SLmG1GNi/23fcde9998355a1cae9b68e9466bcf2f/WhatsApp_Image_2024-12-26_at_12.30.35.jpeg
7zDHkLx3EwQRa7laLZpZaM,1942,ATM GENCE BAZARSTORE NARIMANOV PR.,ATM,GANCA Nəriman Nərimanov pr,40.67479,46.369978,,False,,,,,,,https://images.ctfassets.net/rckhx7d9app2/9wzjSVWcdg6DNVcvCeVGM/21179a58473378d8047dc1f5d7136350/WhatsApp_Image_2024-12-26_at_14.52.02.jpeg
7xTiGBipbQwoebVejPZVSR,2247,ATM GENCE BRANCH  2 NR,ATM,"Gəncə, Zərdabi küçəsi 210 (ABB-nın Gəncə filialı)",40.66800400108086,46.35405479929814,,True,,True,,,,,https://images.ctfassets.net/rckhx7d9app2/58oeF43qLUxXx7qAHg8Ppa/c3f31d0992b24113f14272938bd5ecd7/WhatsApp_Image_2024-12-26_at_08.10.49.jpeg
1FIwxBosAsUJupsJhzqFcZ,2282,ATM GENCE BAZARSTORE NR,ATM,Gəncə (Bazarstore),40.678947692703304,46.36589431940843,,True,,,,,,,https://images.ctfassets.net/rckhx7d9app2/2pUgItNXBK4JaO6mUX5XJF/e1a7fc1d216b34b204e1ef7062bde4d0/WhatsApp_Image_2024-12-26_at_16.38.40.jpeg
1ahYl1jXHal2qupBB5XGLK,2327,ATM GENCE GOLD AMINE MARKET WR,ATM,"Gəncə, Tağı Arani küç (Gold Əminə hipermarket)",40.6869,46.379686,,True,,,,,,,https://images.ctfassets.net/rckhx7d9app2/6NVj4AUTmfuipBMheh9rTQ/51a9b2c448273a3bd7e36edbb2db45d7/WhatsApp_Image_2024-12-24_at_11.51.12.jpeg
